Predicted Price		Real Price		Given Data		
[313647.522]		[506100.]		[ 6.273  6.78  18.7  ]		
[509188.826]		[449400.]		[ 6.286  8.94  18.7  ]		
[341281.321]		[420000.]		[ 6.279 11.97  18.7  ]		
[499035.394]		[436800.]		[ 6.14 10.27 18.7 ]		
[423821.708]		[445200.]		[ 6.232 12.34  18.7  ]		
[398251.796]		[426300.]		[ 5.874  9.1   18.7  ]		
[452268.155]		[588000.]		[ 6.727  5.29  19.   ]		
[369793.328]		[501900.]		[ 6.619  7.22  19.   ]		
[125022.123]		[520800.]		[ 6.302  6.72  19.   ]		
[381375.302]		[480900.]		[ 6.167  7.51  19.   ]		
[273435.919]		[501900.]		[ 6.389  9.62  18.5  ]		
[444817.118]		[558600.]		[ 6.63  6.53 18.5 ]		
[250843.6]		[472500.]		[ 6.015 12.86  18.5  ]		
[394286.287]		[466200.]		[ 6.121  8.44  18.5  ]		
[344925.369]		[495600.]		[ 7.007  5.5   17.8  ]		
[585412.618]		[602700.]		[ 7.079  5.7   17.8  ]		
[676969.28]		[474600.]		[ 6.417  8.81  17.8  ]		
[331291.4]		[462000.]		[ 6.405  8.2   17.8  ]		
[549947.64]		[480900.]		[ 6.442  8.16  18.2  ]		
[315196.465]		[525000.]		[ 6.211  6.21  18.2  ]		
[618847.524]		[432600.]		[ 6.249 10.59  18.2  ]		
[527640.456]		[596400.]		[ 6.625  6.65  18.   ]		
[512018.779]		[449400.]		[ 6.163 11.34  18.   ]		
[680458.1]		[812700.]		[ 8.069  4.21  18.   ]		
[568702.315]		[919800.]		[ 7.82  3.57 18.  ]		
[331146.007]		[697200.]		[ 7.416  6.19  18.   ]		
[504297.295]		[577500.]		[ 6.727  9.42  20.9  ]		
[405263.176]		[556500.]		[ 6.781  7.67  20.9  ]		
[406434.166]		[390600.]		[ 6.405 10.63  20.9  ]		
[349990.019]		[405300.]		[ 6.137 13.44  20.9  ]		
[276291.863]		[422100.]		[ 6.167 12.33  20.9  ]		
[654643.949]		[409500.]		[ 5.851 16.47  20.9  ]		
[528180.664]		[409500.]		[ 5.836 18.66  20.9  ]		
[314295.237]		[428400.]		[ 6.127 14.09  20.9  ]		
[312173.588]		[415800.]		[ 6.474 12.27  20.9  ]		
[324852.492]		[407400.]		[ 6.229 15.55  20.9  ]		
[349035.727]		[455700.]		[ 6.195 13.    20.9  ]		
[295479.028]		[478800.]		[ 6.715 10.16  17.8  ]		
[257882.782]		[394800.]		[ 5.913 16.21  17.8  ]		
[443512.029]		[392700.]		[ 6.092 17.09  17.8  ]		
[162555.945]		[388500.]		[ 6.254 10.45  17.8  ]		
[262101.096]		[384300.]		[ 5.928 15.76  17.8  ]		
[493441.044]		[445200.]		[ 6.176 12.04  17.8  ]		
[519216.741]		[403200.]		[ 6.021 10.3   17.8  ]		
[437290.357]		[428400.]		[ 5.872 15.37  17.8  ]		
[376318.498]		[405300.]		[ 5.731 13.61  17.8  ]		
[283510.782]		[462000.]		[ 5.87 14.37 19.1 ]		
[346289.426]		[426300.]		[ 6.004 14.27  19.1  ]		
[754346.759]		[430500.]		[ 5.961 17.93  19.1  ]		
[350860.147]		[363300.]		[ 5.856 25.41  19.1  ]		
[246850.842]		[394800.]		[ 5.879 17.58  19.1  ]		
[429478.593]		[449400.]		[ 5.986 14.81  19.1  ]		
[772968.219]		[329700.]		[ 5.613 27.26  19.1  ]		
[644318.07]		[340200.]		[ 5.693 17.19  21.2  ]		
[190016.854]		[378000.]		[ 6.431 15.39  21.2  ]		
[648932.218]		[300300.]		[ 5.637 18.34  21.2  ]		
[260730.665]		[403200.]		[ 6.458 12.6   21.2  ]		
[491739.463]		[411600.]		[ 6.326 12.26  21.2  ]		
[266864.913]		[483000.]		[ 6.372 11.12  21.2  ]		
[558367.865]		[386400.]		[ 5.822 15.03  21.2  ]		
[317887.99]		[327600.]		[ 5.757 17.31  21.2  ]		
[521790.657]		[380100.]		[ 6.335 16.96  21.2  ]		
[422822.855]		[365400.]		[ 5.942 16.9   21.2  ]		
[247102.587]		[359100.]		[ 6.454 14.59  21.2  ]		
[477967.99]		[279300.]		[ 5.857 21.32  21.2  ]		
[427274.205]		[373800.]		[ 6.151 18.46  21.2  ]		
[544589.312]		[294000.]		[ 6.174 24.16  21.2  ]		
[435735.578]		[302400.]		[ 5.019 34.41  21.2  ]		
[374985.617]		[281400.]		[ 5.403 26.82  14.7  ]		
[411317.72]		[327600.]		[ 5.468 26.42  14.7  ]		
[480644.636]		[247800.]		[ 4.903 29.29  14.7  ]		
[539964.55]		[289800.]		[ 6.13 27.8  14.7 ]		
[462863.326]		[327600.]		[ 5.628 16.65  14.7  ]		
[476177.543]		[306600.]		[ 4.926 29.53  14.7  ]		
[645054.106]		[373800.]		[ 5.186 28.32  14.7  ]		
[351796.657]		[323400.]		[ 5.597 21.45  14.7  ]		
[233524.583]		[451500.]		[ 6.122 14.1   14.7  ]		
[554478.499]		[411600.]		[ 5.404 13.28  14.7  ]		
[198933.861]		[321300.]		[ 5.012 12.12  14.7  ]		
[470097.876]		[407400.]		[ 5.709 15.79  14.7  ]		
[288435.477]		[357000.]		[ 6.129 15.12  14.7  ]		
[493539.528]		[327600.]		[ 6.152 15.02  14.7  ]		
[396759.284]		[275100.]		[ 5.272 16.14  14.7  ]		
[679463.633]		[867300.]		[ 6.943  4.59  14.7  ]		
[281849.194]		[510300.]		[ 6.066  6.43  14.7  ]		
[255784.372]		[489300.]		[ 6.51  7.39 14.7 ]		
[406850.109]		[567000.]		[ 6.25  5.5  14.7 ]		
[364308.807]		[476700.]		[ 5.854 11.64  14.7  ]		
[446112.723]		[525000.]		[ 6.101  9.81  14.7  ]		
[451162.698]		[499800.]		[ 5.877 12.14  14.7  ]		
[309966.708]		[499800.]		[ 6.319 11.1   14.7  ]		
[327209.732]		[468300.]		[ 6.402 11.32  14.7  ]		
[331671.061]		[365400.]		[ 5.875 14.43  14.7  ]		
[141922.837]		[401100.]		[ 5.88 12.03 14.7 ]		
[488026.712]		[485100.]		[ 5.572 14.69  16.6  ]		
[241408.754]		[495600.]		[ 6.416  9.04  16.6  ]		
[493089.468]		[474600.]		[ 5.859  9.64  16.6  ]		
[542329.739]		[617400.]		[ 6.546  5.33  16.6  ]		
[282161.777]		[487200.]		[ 6.02 10.11 16.6 ]		
[168722.126]		[516600.]		[ 6.315  6.29  16.6  ]		
[373875.33]		[627900.]		[ 6.86  6.92 16.6 ]		
[431832.946]		[781200.]		[ 6.98  5.04 17.8 ]		
[264101.897]		[835800.]		[ 7.765  7.56  17.8  ]		
[518002.522]		[760200.]		[ 6.144  9.45  17.8  ]		
[391913.787]		[795900.]		[ 7.155  4.82  17.8  ]		
[541492.232]		[682500.]		[ 6.563  5.68  17.8  ]		
[214066.054]		[554400.]		[ 5.604 13.98  17.8  ]		
[865527.162]		[621600.]		[ 6.153 13.15  17.8  ]		
[662825.167]		[672000.]		[ 6.782  6.68  15.2  ]		
[353523.505]		[625800.]		[ 6.556  4.56  15.2  ]		
[649027.784]		[732900.]		[ 7.185  5.39  15.2  ]		
[454461.043]		[777000.]		[ 6.951  5.1   15.2  ]		
[373190.839]		[640500.]		[ 6.739  4.69  15.2  ]		
[223865.357]		[764400.]		[ 7.178  2.87  15.2  ]		
[356482.021]		[653100.]		[ 6.8   5.03 15.6 ]		
[672971.973]		[611100.]		[ 6.604  4.38  15.6  ]		
[660619.913]		[699300.]		[ 7.287  4.08  12.6  ]		
[186526.001]		[636300.]		[ 7.107  8.61  12.6  ]		
[429205.781]		[726600.]		[ 7.274  6.62  12.6  ]		
[403828.488]		[732900.]		[ 6.975  4.56  17.   ]		
[216346.195]		[690900.]		[ 7.135  4.45  17.   ]		
[331829.075]		[506100.]		[ 6.162  7.43  14.7  ]		
[884057.76]		[888300.]		[ 7.61  3.11 14.7 ]		
[205343.908]		[1018500.]		[ 7.853  3.81  14.7  ]		
[427391.734]		[474600.]		[ 5.891 10.87  18.6  ]		
[359330.769]		[512400.]		[ 6.326 10.97  18.6  ]		
[535309.239]		[472500.]		[ 5.783 18.06  18.6  ]		
[470134.284]		[512400.]		[ 6.064 14.66  18.6  ]		
[508072.45]		[420000.]		[ 5.344 23.09  18.6  ]		
[596736.035]		[455700.]		[ 5.96 17.27 18.6 ]		
[502786.249]		[405300.]		[ 5.404 23.98  18.6  ]		
[339027.673]		[470400.]		[ 5.807 16.03  18.6  ]		
[427058.369]		[590100.]		[ 6.375  9.38  18.6  ]		
[451580.583]		[497700.]		[ 5.412 29.55  18.6  ]		
[539891.746]		[525000.]		[ 6.182  9.47  18.6  ]		
[374693.162]		[489300.]		[ 5.888 13.51  16.4  ]		
[199489.842]		[602700.]		[ 6.642  9.69  16.4  ]		
[406293.359]		[451500.]		[ 5.951 17.92  16.4  ]		
[294553.441]		[483000.]		[ 6.373 10.5   16.4  ]		
[386938.63]		[560700.]		[ 6.951  9.71  17.4  ]		
[234184.004]		[455700.]		[ 6.164 21.46  17.4  ]		
[556654.465]		[577500.]		[ 6.879  9.93  17.4  ]		
[666894.886]		[632100.]		[ 6.618  7.6   17.4  ]		
[401507.874]		[940800.]		[ 8.266  4.14  17.4  ]		
[213460.581]		[789600.]		[ 8.04  3.13 17.4 ]		
[408450.087]		[663600.]		[ 7.163  6.36  17.4  ]		
[500088.376]		[980700.]		[ 7.686  3.92  17.4  ]		
[463458.23]		[661500.]		[ 6.552  3.76  17.4  ]		
[368230.818]		[510300.]		[ 5.981 11.65  17.4  ]		
[520288.441]		[665700.]		[ 7.412  5.25  17.4  ]		
[673704.402]		[875700.]		[ 8.337  2.47  17.4  ]		
[412952.056]		[1014300.]		[ 8.247  3.95  17.4  ]		
[608612.215]		[609000.]		[ 6.726  8.05  17.4  ]		
[354601.546]		[504000.]		[ 6.086 10.88  17.4  ]		
[495055.984]		[527100.]		[ 6.631  9.54  17.4  ]		
[468043.699]		[661500.]		[ 7.358  4.73  17.4  ]		
[214680.302]		[497700.]		[ 6.481  6.36  16.6  ]		
[417819.029]		[489300.]		[ 6.606  7.37  16.6  ]		
[664570.738]		[462000.]		[ 6.897 11.38  16.6  ]		
[530295.634]		[422100.]		[ 6.095 12.4   16.6  ]		
[272100.258]		[466200.]		[ 6.358 11.22  16.6  ]		
[691882.37]		[497700.]		[ 6.393  5.19  16.6  ]		
[451679.694]		[369600.]		[ 5.593 12.5   19.1  ]		
[291677.918]		[388500.]		[ 5.605 18.46  19.1  ]		
[540157.074]		[510300.]		[ 6.108  9.16  19.1  ]		
[401391.867]		[430500.]		[ 6.226 10.15  19.1  ]		
[598246.366]		[514500.]		[ 6.433  9.52  19.1  ]		
[329924.292]		[550200.]		[ 6.718  6.56  19.1  ]		
[706159.925]		[512400.]		[ 6.487  5.9   19.1  ]		
[262025.548]		[520800.]		[ 6.438  3.59  19.1  ]		
[547264.313]		[621600.]		[ 6.957  3.53  19.1  ]		
[369670.973]		[898800.]		[ 8.259  3.54  19.1  ]		
[427663.58]		[459900.]		[ 6.108  6.57  16.4  ]		
[380842.727]		[438900.]		[ 5.876  9.25  16.4  ]		
[627477.181]		[924000.]		[ 7.454  3.11  15.9  ]		
[414512.987]		[756000.]		[ 7.333  7.79  13.   ]		
[509911.054]		[632100.]		[ 6.842  6.9   13.   ]		
[458343.623]		[709800.]		[ 7.203  9.59  13.   ]		
[505623.683]		[905100.]		[ 7.52  7.26 13.  ]		
[328878.857]		[1024800.]		[ 8.398  5.91  13.   ]		
[444536.508]		[651000.]		[ 7.327 11.25  13.   ]		
[659080.017]		[766500.]		[ 7.206  8.1   13.   ]		
[246203.221]		[478800.]		[ 5.56 10.45 13.  ]		
[379396.757]		[644700.]		[ 7.014 14.79  13.   ]		
[384679.432]		[913500.]		[ 7.47  3.16 13.  ]		
[312425.993]		[434700.]		[ 5.92 13.65 18.6 ]		
[461163.198]		[443100.]		[ 5.856 13.    18.6  ]		
[472204.1]		[529200.]		[ 6.24  6.59 18.6 ]		
[861815.887]		[512400.]		[ 6.538  7.73  18.6  ]		
[484294.12]		[739200.]		[ 7.691  6.58  18.6  ]		
[228307.674]		[680400.]		[ 6.758  3.53  17.6  ]		
[381916.148]		[672000.]		[ 6.854  2.98  17.6  ]		
[431988.002]		[697200.]		[ 7.267  6.05  17.6  ]		
[222225.049]		[695100.]		[ 6.826  4.16  17.6  ]		
[269752.628]		[611100.]		[ 6.482  7.19  17.6  ]		
[267359.573]		[737100.]		[ 6.812  4.85  14.9  ]		
[622301.65]		[953400.]		[ 7.82  3.76 14.9 ]		
[486404.375]		[743400.]		[ 6.968  4.59  14.9  ]		
[343905.2]		[966000.]		[ 7.645  3.01  14.9  ]		
[375554.846]		[676200.]		[ 7.088  7.85  15.3  ]		
[350731.963]		[462000.]		[ 6.453  8.23  15.3  ]		
[438394.073]		[422100.]		[ 6.23 12.93 18.2 ]		
[823178.698]		[487200.]		[ 6.209  7.14  16.6  ]		
[361605.381]		[468300.]		[ 6.315  7.6   16.6  ]		
[458029.085]		[520800.]		[ 6.565  9.51  16.6  ]		
[310613.932]		[598500.]		[ 6.861  3.33  19.2  ]		
[366389.454]		[783300.]		[ 7.148  3.56  19.2  ]		
[223622.481]		[585900.]		[ 6.63  4.7  19.2 ]		
[299492.444]		[501900.]		[ 6.127  8.58  16.   ]		
[429938.52]		[455700.]		[ 6.009 10.4   16.   ]		
[691836.831]		[600600.]		[ 6.678  6.27  16.   ]		
[470111.738]		[569100.]		[ 6.549  7.39  16.   ]		
[540098.932]		[426300.]		[ 5.79 15.84 16.  ]		
[385138.826]		[472500.]		[ 6.345  4.97  14.8  ]		
[446022.933]		[609000.]		[ 7.041  4.74  14.8  ]		
[331783.712]		[520800.]		[ 6.871  6.07  14.8  ]		
[430728.987]		[462000.]		[ 6.59  9.5  16.1 ]		
[355529.444]		[554400.]		[ 6.495  8.67  16.1  ]		
[649908.554]		[695100.]		[ 6.982  4.86  16.1  ]		
[237954.527]		[758100.]		[ 7.236  6.93  18.4  ]		
[705495.663]		[596400.]		[ 6.616  8.93  18.4  ]		
[313802.834]		[701400.]		[ 7.42  6.47 18.4 ]		
[312909.143]		[592200.]		[ 6.849  7.53  18.4  ]		
[404526.107]		[478800.]		[ 6.635  4.54  18.4  ]		
[462276.126]		[426300.]		[ 5.972  9.97  18.4  ]		
[373332.243]		[338100.]		[ 4.973 12.64  18.4  ]		
[427429.642]		[464100.]		[ 6.122  5.98  18.4  ]		
[429395.446]		[407400.]		[ 6.023 11.72  18.4  ]		
[543218.319]		[453600.]		[ 6.266  7.9   18.4  ]		
[542678.862]		[499800.]		[ 6.567  9.28  18.4  ]		
[522060.602]		[340200.]		[ 5.705 11.5   18.4  ]		
[354355.023]		[373800.]		[ 5.914 18.33  18.4  ]		
[272165.055]		[415800.]		[ 5.782 15.94  18.4  ]		
[846872.376]		[485100.]		[ 6.382 10.36  18.4  ]		
[448678.087]		[441000.]		[ 6.113 12.73  18.4  ]		
[330411.951]		[499800.]		[ 6.426  7.2   19.6  ]		
[624740.118]		[485100.]		[ 6.376  6.87  19.6  ]		
[208235.255]		[428400.]		[ 6.041  7.7   19.6  ]		
[359919.781]		[388500.]		[ 5.708 11.74  19.6  ]		
[295426.387]		[525000.]		[ 6.415  6.12  19.6  ]		
[402187.353]		[516600.]		[ 6.431  5.08  19.6  ]		
[386056.782]		[483000.]		[ 6.312  6.15  19.6  ]		
[575873.339]		[466200.]		[ 6.083 12.79  19.6  ]		
[597821.426]		[405300.]		[ 5.868  9.97  16.9  ]		
[463054.012]		[474600.]		[ 6.333  7.34  16.9  ]		
[545867.942]		[415800.]		[ 6.144  9.09  16.9  ]		
[729581.121]		[359100.]		[ 5.706 12.43  16.9  ]		
[399864.854]		[407400.]		[ 6.031  7.83  16.9  ]		
[486256.775]		[466200.]		[ 6.316  5.68  20.2  ]		
[293458.659]		[434700.]		[ 6.31  6.75 20.2 ]		
[296351.223]		[443100.]		[ 6.037  8.01  20.2  ]		
[581695.946]		[409500.]		[ 5.869  9.8   20.2  ]		
[339268.577]		[388500.]		[ 5.895 10.56  20.2  ]		
[421260.157]		[432600.]		[ 6.059  8.51  20.2  ]		
[496594.807]		[399000.]		[ 5.985  9.74  20.2  ]		
[93046.487]		[392700.]		[ 5.968  9.29  20.2  ]		
[622346.942]		[686700.]		[ 7.241  5.49  15.5  ]		
[625761.969]		[346500.]		[ 6.54  8.65 15.9 ]		
[386988.448]		[501900.]		[ 6.696  7.18  17.6  ]		
[667222.905]		[655200.]		[ 6.874  4.61  17.6  ]		
[367685.613]		[367500.]		[ 6.014 10.53  18.8  ]		
[433781.889]		[361200.]		[ 5.898 12.67  18.8  ]		
[289126.972]		[485100.]		[ 6.516  6.36  17.9  ]		
[429723.833]		[514500.]		[ 6.635  5.99  17.   ]		
[558969.991]		[558600.]		[ 6.939  5.89  19.7  ]		
[485863.553]		[480900.]		[ 6.49  5.98 19.7 ]		
[205615.944]		[506100.]		[ 6.579  5.49  18.3  ]		
[490946.537]		[390600.]		[ 5.884  7.79  18.3  ]		
[362644.205]		[632100.]		[ 6.728  4.5   17.   ]		
[332707.364]		[382200.]		[ 5.663  8.05  22.   ]		
[533556.872]		[432600.]		[ 5.936  5.57  22.   ]		
[356165.116]		[373800.]		[ 6.212 17.6   20.2  ]		
[360217.934]		[455700.]		[ 6.395 13.27  20.2  ]		
[773424.194]		[476700.]		[ 6.127 11.48  20.2  ]		
[850082.961]		[474600.]		[ 6.112 12.67  20.2  ]		
[211459.837]		[525000.]		[ 6.398  7.79  20.2  ]		
[317701.085]		[417900.]		[ 6.251 14.19  20.2  ]		
[467464.577]		[436800.]		[ 5.362 10.19  20.2  ]		
[387721.899]		[352800.]		[ 5.803 14.64  20.2  ]		
[363637.271]		[577500.]		[ 3.561  7.12  20.2  ]		
[620255.849]		[459900.]		[ 4.963 14.    20.2  ]		
[295333.945]		[485100.]		[ 3.863 13.33  20.2  ]		
[241587.499]		[289800.]		[ 4.906 34.77  20.2  ]		
[383747.851]		[289800.]		[ 4.138 37.97  20.2  ]		
[404246.282]		[315000.]		[ 7.313 13.44  20.2  ]		
[357188.51]		[291900.]		[ 6.649 23.24  20.2  ]		
[406775.334]		[279300.]		[ 6.794 21.24  20.2  ]		
[383642.337]		[275100.]		[ 6.38 23.69 20.2 ]		
[876118.133]		[214200.]		[ 6.223 21.78  20.2  ]		
[482550.287]		[218400.]		[ 6.968 17.21  20.2  ]		
[323734.227]		[228900.]		[ 6.545 21.08  20.2  ]		
[348312.653]		[237300.]		[ 5.536 23.6   20.2  ]		
[561605.502]		[258300.]		[ 5.52 24.56 20.2 ]		
[353473.289]		[184800.]		[ 4.368 30.63  20.2  ]		
[315727.21]		[151200.]		[ 5.277 30.81  20.2  ]		
[438983.472]		[220500.]		[ 4.652 28.28  20.2  ]		
[212549.225]		[155400.]		[ 5.   31.99 20.2 ]		
[342968.802]		[214200.]		[ 4.88 30.62 20.2 ]		
[448254.825]		[241500.]		[ 5.39 20.85 20.2 ]		
[180296.82]		[317100.]		[ 5.713 17.11  20.2  ]		
[485934.791]		[487200.]		[ 6.051 18.76  20.2  ]		
[248193.964]		[203700.]		[ 5.036 25.68  20.2  ]		
[318594.887]		[289800.]		[ 6.193 15.17  20.2  ]		
[650663.523]		[266700.]		[ 5.887 16.35  20.2  ]		
[552489.485]		[275100.]		[ 6.471 17.12  20.2  ]		
[576700.728]		[262500.]		[ 6.405 19.37  20.2  ]		
[790793.652]		[178500.]		[ 5.747 19.92  20.2  ]		
[200361.652]		[105000.]		[ 5.453 30.59  20.2  ]		
[517667.525]		[132300.]		[ 5.852 29.97  20.2  ]		
[432391.884]		[117600.]		[ 5.987 26.77  20.2  ]		
[335617.774]		[151200.]		[ 6.343 20.32  20.2  ]		
[283054.323]		[254100.]		[ 6.404 20.31  20.2  ]		
[294624.971]		[174300.]		[ 5.349 19.77  20.2  ]		
[562656.171]		[178500.]		[ 5.531 27.38  20.2  ]		
[256425.761]		[105000.]		[ 5.683 22.98  20.2  ]		
[685034.376]		[249900.]		[ 4.138 23.34  20.2  ]		
[341898.31]		[585900.]		[ 5.608 12.13  20.2  ]		
[497445.206]		[361200.]		[ 5.617 26.4   20.2  ]		
[395429.592]		[577500.]		[ 6.852 19.78  20.2  ]		
[526834.245]		[315000.]		[ 5.757 10.11  20.2  ]		
[248472.543]		[361200.]		[ 6.657 21.22  20.2  ]		
[370635.183]		[375900.]		[ 4.628 34.37  20.2  ]		
[405485.636]		[342300.]		[ 5.155 20.08  20.2  ]		
[146805.053]		[147000.]		[ 4.519 36.98  20.2  ]		
[345966.645]		[151200.]		[ 6.434 29.05  20.2  ]		
[350056.523]		[157500.]		[ 6.782 25.79  20.2  ]		
[398317.117]		[218400.]		[ 5.304 26.64  20.2  ]		
[376364.537]		[184800.]		[ 5.957 20.62  20.2  ]		
[287556.453]		[176400.]		[ 6.824 22.74  20.2  ]		
[421554.164]		[350700.]		[ 6.411 15.02  20.2  ]		
[238973.748]		[298200.]		[ 6.006 15.7   20.2  ]		
[616193.198]		[436800.]		[ 5.648 14.1   20.2  ]		
[803587.515]		[281400.]		[ 6.103 23.29  20.2  ]		
[391370.642]		[245700.]		[ 5.565 17.16  20.2  ]		
[200380.969]		[174300.]		[ 5.896 24.39  20.2  ]		
[346487.377]		[214200.]		[ 5.837 15.69  20.2  ]		
[578276.262]		[228900.]		[ 6.202 14.52  20.2  ]		
[302391.455]		[231000.]		[ 6.193 21.52  20.2  ]		
[174199.79]		[199500.]		[ 6.38 24.08 20.2 ]		
[625962.429]		[304500.]		[ 6.348 17.64  20.2  ]		
[597749.498]		[296100.]		[ 6.833 19.69  20.2  ]		
[577833.71]		[338100.]		[ 6.425 12.03  20.2  ]		
[277526.737]		[300300.]		[ 6.436 16.22  20.2  ]		
[306298.531]		[245700.]		[ 6.208 15.17  20.2  ]		
[228788.168]		[281400.]		[ 6.629 23.27  20.2  ]		
[624939.319]		[201600.]		[ 6.461 18.05  20.2  ]		
[334269.812]		[182700.]		[ 6.152 26.45  20.2  ]		
[273276.555]		[176400.]		[ 5.935 34.02  20.2  ]		
[363984.824]		[268800.]		[ 5.627 22.88  20.2  ]		
[202130.156]		[220500.]		[ 5.818 22.11  20.2  ]		
[294748.322]		[359100.]		[ 6.406 19.52  20.2  ]		
[372628.512]		[386400.]		[ 6.219 16.59  20.2  ]		
[329916.988]		[323400.]		[ 6.485 18.85  20.2  ]		
[460693.838]		[226800.]		[ 5.854 23.79  20.2  ]		
[343641.273]		[247800.]		[ 6.459 23.98  20.2  ]		
[689826.522]		[312900.]		[ 6.341 17.79  20.2  ]		
[505044.947]		[264600.]		[ 6.251 16.44  20.2  ]		
[276494.305]		[296100.]		[ 6.185 18.13  20.2  ]		
[266980.636]		[273000.]		[ 6.417 19.31  20.2  ]		
[545544.642]		[281400.]		[ 6.749 17.44  20.2  ]		
[361359.445]		[319200.]		[ 6.655 17.73  20.2  ]		
[784410.421]		[338100.]		[ 6.297 17.27  20.2  ]		
[296914.396]		[373800.]		[ 7.393 16.74  20.2  ]		
[633582.244]		[312900.]		[ 6.728 18.71  20.2  ]		
